id,data,voto,clube,sexo,idade
187,2015-01-06,Concorda,SSPCOR,Feminino,40
188,2015-01-06,Concorda,SSPCOR,Masculino,44
189,2015-01-06,Concorda,Palmeiras,Masculino,36
190,2015-01-06,Concorda,SSPCOR,Masculino,17
191,2015-01-06,Não sabe,Outro,Feminino,23
192,2015-01-06,Não sabe,Outro,Masculino,81
193,2015-01-06,Concorda,Palmeiras,Masculino,67
194,2015-01-06,Concorda,Outro,Masculino,41
195,2015-01-06,Não sabe,Outro,Masculino,74
196,2015-01-06,Concorda,Outro,Masculino,42
197,2015-01-06,Concorda,SSPCOR,Feminino,66
198,2015-01-06,Concorda,Outro,Masculino,29
199,2015-01-06,Concorda,SSPCOR,Masculino,80
200,2015-01-06,Concorda,Palmeiras,Masculino,71
201,2015-01-06,Não sabe,Outro,Feminino,73
202,2015-01-06,Concorda,SSPCOR,Feminino,33
203,2015-01-06,Não sabe,Outro,Masculino,74
204,2015-01-06,Não sabe,Outro,Feminino,59
205,2015-01-06,Concorda,SSPCOR,Masculino,76
206,2015-01-06,Concorda,SSPCOR,Masculino,40
207,2015-01-06,Concorda,Palmeiras,Feminino,39
208,2015-01-06,Não sabe,Outro,Feminino,76
209,2015-01-06,Não sabe,Outro,Feminino,77
210,2015-01-06,Concorda,Palmeiras,Feminino,24
211,2015-01-06,Concorda,Outro,Masculino,31
212,2015-01-06,Concorda,Palmeiras,Feminino,71
213,2015-01-06,Concorda,Palmeiras,Masculino,84
214,2015-01-06,Concorda,Outro,Masculino,44
215,2015-01-06,Concorda,Palmeiras,Masculino,63
216,2015-01-06,Concorda,Palmeiras,Masculino,70
217,2015-01-06,Concorda,Outro,Masculino,29
218,2015-01-06,Concorda,SSPCOR,Masculino,39
219,2015-01-06,Concorda,SSPCOR,Feminino,43
220,2015-01-06,Concorda,SSPCOR,Masculino,52
221,2015-01-06,Concorda,SSPCOR,Feminino,81
222,2015-01-06,Não sabe,Outro,Masculino,83
223,2015-01-06,Concorda,Palmeiras,Feminino,35
224,2015-01-06,Concorda,Outro,Masculino,44
225,2015-01-06,Concorda,Palmeiras,Masculino,62
226,2015-01-07,Concorda,Palmeiras,Feminino,71
227,2015-01-07,Não sabe,Outro,Masculino,71
228,2015-01-07,Concorda,SSPCOR,Masculino,68
229,2015-01-07,Não sabe,Outro,Feminino,55
230,2015-01-07,Concorda,Outro,Masculino,42
231,2015-01-07,Concorda,SSPCOR,Feminino,63
232,2015-01-07,Não sabe,Outro,Feminino,21
233,2015-01-07,Concorda,Palmeiras,Masculino,50
234,2015-01-07,Concorda,SSPCOR,Masculino,28
235,2015-01-07,Concorda,SSPCOR,Masculino,38
236,2015-01-07,Concorda,Outro,Masculino,34
237,2015-01-07,Não sabe,Outro,Feminino,65
238,2015-01-07,Não sabe,Outro,Feminino,25
239,2015-01-07,Concorda,SSPCOR,Masculino,41
240,2015-01-07,Concorda,SSPCOR,Feminino,45
241,2015-01-07,Não sabe,Palmeiras,Feminino,19
242,2015-01-07,Não sabe,Outro,Feminino,76
243,2015-01-07,Concorda,Palmeiras,Feminino,49
244,2015-01-07,Não sabe,Outro,Masculino,77
245,2015-01-07,Não sabe,Outro,Feminino,23
246,2015-01-07,Concorda,Palmeiras,Masculino,60
247,2015-01-07,Não sabe,Outro,Feminino,20
248,2015-01-07,Concorda,SSPCOR,Feminino,60
249,2015-01-07,Não sabe,Outro,Masculino,71
250,2015-01-07,Concorda,Palmeiras,Masculino,52
251,2015-01-07,Concorda,SSPCOR,Feminino,48
252,2015-01-07,Não sabe,Outro,Feminino,41
253,2015-01-07,Não sabe,Outro,Feminino,24
254,2015-01-07,Não sabe,Outro,Feminino,44
255,2015-01-07,Concorda,Palmeiras,Feminino,28
256,2015-01-07,Concorda,Palmeiras,Feminino,38
257,2015-01-08,Não sabe,Outro,Feminino,33
258,2015-01-08,Concorda,SSPCOR,Feminino,82
259,2015-01-08,Concorda,Palmeiras,Feminino,43
260,2015-01-08,Concorda,Palmeiras,Feminino,62
261,2015-01-08,Concorda,Palmeiras,Masculino,26
262,2015-01-08,Concorda,SSPCOR,Masculino,67
263,2015-01-08,Discorda,Palmeiras,Feminino,57
264,2015-01-08,Concorda,Palmeiras,Feminino,66
265,2015-01-08,Concorda,Palmeiras,Masculino,34
266,2015-01-08,Concorda,Outro,Masculino,16
267,2015-01-08,Concorda,SSPCOR,Masculino,30
268,2015-01-08,Concorda,Outro,Masculino,48
269,2015-01-08,Concorda,SSPCOR,Masculino,34
270,2015-01-08,Concorda,SSPCOR,Feminino,58
271,2015-01-08,Concorda,Palmeiras,Masculino,34
272,2015-01-08,Não sabe,Outro,Feminino,47
273,2015-01-08,Discorda,SSPCOR,Feminino,17
274,2015-01-08,Concorda,SSPCOR,Masculino,52
275,2015-01-08,Concorda,SSPCOR,Masculino,71
276,2015-01-08,Concorda,Palmeiras,Feminino,56
277,2015-01-08,Concorda,Palmeiras,Feminino,37
278,2015-01-09,Concorda,SSPCOR,Masculino,79
279,2015-01-09,Não sabe,Outro,Feminino,74
280,2015-01-09,Concorda,SSPCOR,Masculino,81
281,2015-01-09,Não sabe,Outro,Masculino,76
282,2015-01-09,Concorda,SSPCOR,Feminino,76
283,2015-01-09,Não sabe,Outro,Feminino,79
284,2015-01-09,Não sabe,Outro,Feminino,48
285,2015-01-09,Concorda,SSPCOR,Masculino,28
286,2015-01-09,Concorda,SSPCOR,Masculino,76
287,2015-01-09,Não sabe,Outro,Feminino,81
288,2015-01-09,Concorda,SSPCOR,Masculino,31
289,2015-01-09,Concorda,SSPCOR,Feminino,81
290,2015-01-09,Não sabe,Outro,Feminino,34
291,2015-01-09,Concorda,SSPCOR,Masculino,61
292,2015-01-09,Não sabe,Outro,Feminino,48
293,2015-01-09,Não sabe,Palmeiras,Feminino,42
294,2015-01-09,Concorda,SSPCOR,Feminino,78
295,2015-01-09,Concorda,Outro,Masculino,23
296,2015-01-09,Não sabe,Outro,Feminino,77
297,2015-01-09,Concorda,Outro,Masculino,26
298,2015-01-09,Concorda,SSPCOR,Masculino,62
299,2015-01-09,Concorda,SSPCOR,Masculino,55
300,2015-01-09,Concorda,Palmeiras,Masculino,62
301,2015-01-09,Não sabe,Outro,Feminino,47
302,2015-01-09,Não sabe,Outro,Feminino,64
303,2015-01-09,Concorda,SSPCOR,Feminino,80
304,2015-01-09,Concorda,Outro,Masculino,21
305,2015-01-09,Concorda,Palmeiras,Masculino,74
306,2015-01-09,Concorda,SSPCOR,Feminino,50
307,2015-01-09,Concorda,Palmeiras,Feminino,20
308,2015-01-09,Concorda,SSPCOR,Feminino,63
309,2015-01-09,Concorda,SSPCOR,Feminino,29
310,2015-01-09,Não sabe,Outro,Masculino,77
311,2015-01-09,Não sabe,Outro,Feminino,48
312,2015-01-09,Concorda,SSPCOR,Feminino,56
313,2015-01-09,Concorda,SSPCOR,Feminino,56
314,2015-01-09,Concorda,Palmeiras,Masculino,46
315,2015-01-09,Não sabe,Outro,Feminino,74
316,2015-01-09,Não sabe,Outro,Feminino,58
317,2015-01-09,Concorda,SSPCOR,Feminino,65
318,2015-01-09,Não sabe,Outro,Feminino,46
319,2015-01-09,Concorda,SSPCOR,Masculino,41
320,2015-01-09,Concorda,Outro,Masculino,44
321,2015-01-09,Concorda,Palmeiras,Feminino,31
322,2015-01-09,Concorda,Outro,Masculino,62
323,2015-01-09,Não sabe,Outro,Masculino,78
324,2015-01-09,Concorda,SSPCOR,Feminino,60
325,2015-01-09,Não sabe,Outro,Feminino,16
326,2015-01-09,Concorda,SSPCOR,Masculino,74
327,2015-01-09,Concorda,Palmeiras,Masculino,34
328,2015-01-09,Não sabe,Outro,Feminino,76
329,2015-01-10,Concorda,Outro,Masculino,26
330,2015-01-10,Não sabe,Outro,Feminino,21
331,2015-01-10,Concorda,Palmeiras,Feminino,40
332,2015-01-10,Não sabe,Outro,Feminino,24
333,2015-01-10,Concorda,SSPCOR,Feminino,82
334,2015-01-10,Concorda,SSPCOR,Masculino,72
335,2015-01-10,Não sabe,Outro,Feminino,66
336,2015-01-10,Não sabe,Outro,Feminino,65
337,2015-01-10,Concorda,Outro,Masculino,34
338,2015-01-10,Concorda,Outro,Masculino,41
339,2015-01-10,Não sabe,Outro,Feminino,75
340,2015-01-10,Concorda,Palmeiras,Masculino,79
341,2015-01-10,Concorda,SSPCOR,Feminino,30
342,2015-01-10,Concorda,SSPCOR,Feminino,63
343,2015-01-10,Não sabe,Outro,Feminino,40
344,2015-01-10,Não sabe,Outro,Feminino,84
345,2015-01-10,Não sabe,Outro,Feminino,40
346,2015-01-10,Concorda,Palmeiras,Masculino,54
347,2015-01-10,Concorda,SSPCOR,Feminino,33
348,2015-01-10,Concorda,SSPCOR,Masculino,45
349,2015-01-10,Concorda,Outro,Masculino,34
350,2015-01-11,Concorda,SSPCOR,Feminino,52
351,2015-01-11,Concorda,Palmeiras,Feminino,24
352,2015-01-11,Concorda,Outro,Masculino,62
353,2015-01-11,Concorda,Palmeiras,Masculino,65
354,2015-01-11,Não sabe,Outro,Feminino,73
355,2015-01-11,Concorda,SSPCOR,Feminino,61
356,2015-01-11,Concorda,SSPCOR,Masculino,52
357,2015-01-11,Não sabe,Outro,Feminino,51
358,2015-01-11,Discorda,Outro,Masculino,76
359,2015-01-11,Concorda,Outro,Masculino,28
360,2015-01-11,Concorda,SSPCOR,Feminino,29
361,2015-01-11,Concorda,SSPCOR,Masculino,18
362,2015-01-11,Não sabe,Outro,Feminino,72
363,2015-01-11,Não sabe,Outro,Feminino,44
364,2015-01-11,Concorda,SSPCOR,Masculino,17
365,2015-01-11,Concorda,SSPCOR,Masculino,80
366,2015-01-11,Não sabe,Outro,Feminino,33
367,2015-01-11,Concorda,SSPCOR,Feminino,41
368,2015-01-11,Concorda,Outro,Masculino,25
369,2015-01-11,Não sabe,Outro,Feminino,44
370,2015-01-11,Concorda,Palmeiras,Feminino,66
371,2015-01-12,Concorda,Palmeiras,Feminino,48
372,2015-01-12,Discorda,SSPCOR,Feminino,57
373,2015-01-12,Não sabe,Outro,Feminino,18
374,2015-01-12,Não sabe,Outro,Feminino,46
375,2015-01-12,Concorda,SSPCOR,Masculino,22
376,2015-01-12,Concorda,Outro,Masculino,54
377,2015-01-12,Concorda,SSPCOR,Feminino,21
378,2015-01-12,Concorda,SSPCOR,Feminino,63
379,2015-01-12,Concorda,Palmeiras,Feminino,63
380,2015-01-12,Não sabe,Outro,Feminino,52
381,2015-01-12,Concorda,SSPCOR,Masculino,53
382,2015-01-12,Não sabe,Outro,Feminino,71
383,2015-01-12,Concorda,SSPCOR,Feminino,29
384,2015-01-12,Não sabe,Outro,Feminino,25
385,2015-01-12,Concorda,SSPCOR,Feminino,84
386,2015-01-12,Não sabe,Outro,Feminino,16
387,2015-01-12,Concorda,Palmeiras,Feminino,59
388,2015-01-12,Concorda,Palmeiras,Masculino,37
389,2015-01-12,Não sabe,Outro,Feminino,69
390,2015-01-12,Concorda,SSPCOR,Masculino,43
391,2015-01-12,Concorda,Outro,Masculino,31
392,2015-01-12,Concorda,SSPCOR,Feminino,82
393,2015-01-12,Concorda,SSPCOR,Masculino,70
394,2015-01-12,Concorda,Outro,Masculino,54
395,2015-01-12,Não sabe,Outro,Feminino,84
396,2015-01-12,Concorda,Palmeiras,Feminino,44
397,2015-01-12,Concorda,Palmeiras,Masculino,18
398,2015-01-12,Não sabe,Outro,Feminino,35
399,2015-01-12,Não sabe,Outro,Feminino,54
400,2015-01-12,Não sabe,Outro,Feminino,79
401,2015-01-12,Não sabe,Outro,Feminino,53
402,2015-01-13,Não sabe,Outro,Masculino,85
403,2015-01-13,Concorda,Palmeiras,Masculino,74
404,2015-01-13,Concorda,SSPCOR,Masculino,40
405,2015-01-13,Concorda,SSPCOR,Feminino,46
406,2015-01-13,Concorda,Outro,Masculino,82
407,2015-01-13,Não sabe,Outro,Feminino,60
408,2015-01-13,Concorda,SSPCOR,Masculino,58
409,2015-01-13,Não sabe,Outro,Masculino,83
410,2015-01-13,Concorda,SSPCOR,Masculino,43
411,2015-01-13,Concorda,Palmeiras,Feminino,23
412,2015-01-13,Concorda,Palmeiras,Feminino,37
413,2015-01-13,Concorda,SSPCOR,Feminino,24
414,2015-01-13,Concorda,SSPCOR,Masculino,67
415,2015-01-13,Concorda,SSPCOR,Masculino,81
416,2015-01-13,Não sabe,Outro,Feminino,58
417,2015-01-13,Não sabe,Outro,Feminino,45
418,2015-01-13,Concorda,Palmeiras,Feminino,80
419,2015-01-13,Não sabe,Outro,Feminino,57
420,2015-01-13,Não sabe,Palmeiras,Feminino,24
421,2015-01-13,Concorda,Outro,Masculino,59
422,2015-01-13,Concorda,SSPCOR,Masculino,52
423,2015-01-13,Não sabe,Outro,Feminino,30
424,2015-01-13,Não sabe,Outro,Masculino,70
425,2015-01-13,Concorda,Palmeiras,Masculino,49
426,2015-01-13,Não sabe,Outro,Feminino,45
427,2015-01-13,Concorda,SSPCOR,Feminino,26
428,2015-01-13,Concorda,Outro,Masculino,41
429,2015-01-13,Concorda,SSPCOR,Feminino,65
430,2015-01-13,Não sabe,Outro,Feminino,82
431,2015-01-13,Não sabe,Outro,Feminino,21
432,2015-01-13,Concorda,SSPCOR,Masculino,83
433,2015-01-13,Concorda,Palmeiras,Feminino,57
434,2015-01-13,Concorda,SSPCOR,Masculino,73
435,2015-01-13,Concorda,Outro,Masculino,21
436,2015-01-13,Concorda,Palmeiras,Masculino,49
437,2015-01-13,Discorda,Outro,Masculino,67
438,2015-01-13,Concorda,SSPCOR,Masculino,31
439,2015-01-13,Concorda,Palmeiras,Masculino,62
440,2015-01-13,Concorda,Palmeiras,Masculino,74
441,2015-01-13,Não sabe,Outro,Masculino,66
442,2015-01-13,Concorda,Palmeiras,Masculino,18
443,2015-01-14,Não sabe,Outro,Masculino,67
444,2015-01-14,Não sabe,Outro,Feminino,19
445,2015-01-14,Concorda,Palmeiras,Masculino,57
446,2015-01-14,Discorda,SSPCOR,Masculino,18
447,2015-01-14,Concorda,SSPCOR,Masculino,81
448,2015-01-14,Concorda,Outro,Masculino,44
449,2015-01-14,Não sabe,Outro,Feminino,32
450,2015-01-14,Concorda,Palmeiras,Feminino,33
451,2015-01-14,Concorda,Palmeiras,Masculino,54
452,2015-01-14,Concorda,SSPCOR,Masculino,47
453,2015-01-14,Não sabe,Outro,Feminino,60
454,2015-01-14,Não sabe,Outro,Feminino,49
455,2015-01-14,Concorda,Palmeiras,Feminino,34
456,2015-01-14,Discorda,SSPCOR,Masculino,82
457,2015-01-14,Não sabe,Outro,Masculino,79
458,2015-01-14,Concorda,SSPCOR,Feminino,80
459,2015-01-14,Concorda,Palmeiras,Masculino,83
460,2015-01-14,Não sabe,Outro,Masculino,65
461,2015-01-14,Não sabe,Outro,Feminino,23
462,2015-01-14,Concorda,Outro,Masculino,51
463,2015-01-14,Não sabe,Outro,Feminino,58
464,2015-01-14,Concorda,SSPCOR,Feminino,65
465,2015-01-14,Concorda,Palmeiras,Feminino,64
466,2015-01-14,Concorda,SSPCOR,Feminino,38
467,2015-01-14,Concorda,SSPCOR,Feminino,29
468,2015-01-14,Discorda,Outro,Masculino,80
469,2015-01-14,Concorda,SSPCOR,Feminino,64
470,2015-01-14,Concorda,Palmeiras,Feminino,65
471,2015-01-14,Concorda,SSPCOR,Feminino,72
472,2015-01-14,Não sabe,Outro,Masculino,83
473,2015-01-14,Não sabe,Outro,Masculino,78
474,2015-01-14,Não sabe,Outro,Feminino,33
475,2015-01-14,Não sabe,Outro,Feminino,72
476,2015-01-14,Concorda,Outro,Masculino,37
477,2015-01-14,Concorda,SSPCOR,Masculino,41
478,2015-01-14,Concorda,SSPCOR,Feminino,60
479,2015-01-14,Concorda,Outro,Masculino,37
480,2015-01-14,Não sabe,Outro,Feminino,53
481,2015-01-14,Discorda,Outro,Masculino,74
482,2015-01-14,Concorda,SSPCOR,Masculino,45
483,2015-01-14,Discorda,SSPCOR,Masculino,72
484,2015-01-14,Concorda,Outro,Masculino,41
485,2015-01-14,Não sabe,Outro,Feminino,36
486,2015-01-14,Concorda,Palmeiras,Masculino,68
487,2015-01-14,Concorda,Palmeiras,Masculino,48
488,2015-01-14,Concorda,SSPCOR,Masculino,56
489,2015-01-14,Concorda,SSPCOR,Feminino,80
490,2015-01-14,Não sabe,Outro,Feminino,49
491,2015-01-14,Concorda,Outro,Masculino,37
492,2015-01-14,Concorda,Outro,Masculino,40
493,2015-01-14,Discorda,Palmeiras,Masculino,52
494,2015-01-15,Concorda,Outro,Masculino,24
495,2015-01-15,Não sabe,Outro,Feminino,59
496,2015-01-15,Concorda,Palmeiras,Feminino,17
497,2015-01-15,Não sabe,Outro,Feminino,80
498,2015-01-15,Concorda,Palmeiras,Feminino,59
499,2015-01-15,Concorda,Palmeiras,Masculino,82
500,2015-01-15,Não sabe,Outro,Feminino,46
501,2015-01-15,Concorda,Outro,Masculino,39
502,2015-01-15,Não sabe,Outro,Feminino,33
503,2015-01-15,Não sabe,Outro,Masculino,84
504,2015-01-15,Não sabe,Outro,Masculino,83
505,2015-01-15,Concorda,SSPCOR,Feminino,71
506,2015-01-15,Não sabe,Outro,Feminino,37
507,2015-01-15,Concorda,SSPCOR,Feminino,45
508,2015-01-15,Concorda,Palmeiras,Masculino,49
509,2015-01-15,Concorda,SSPCOR,Masculino,75
510,2015-01-15,Não sabe,Outro,Feminino,51
511,2015-01-15,Não sabe,Outro,Feminino,47
512,2015-01-15,Concorda,Outro,Masculino,31
513,2015-01-15,Concorda,Outro,Masculino,59
514,2015-01-15,Não sabe,Outro,Feminino,16
515,2015-01-16,Concorda,SSPCOR,Masculino,26
516,2015-01-16,Concorda,Palmeiras,Masculino,63
517,2015-01-16,Concorda,SSPCOR,Masculino,39
